Titolo,Artista,Testo
Lunedì,Vasco Rossi,"La ragazza mi ha lasciato, è colpa mia
Sono stato anche bocciato e non andrò via
Passerò tutta l'estate qui, compresi i lunedì
Quelli li odio di più, non lo so, ma è così
Odio i lunedì
I lunedì
La mia ragazza mi ha lasciato una valigia piena di
Di auguri perché mi si spezzi il collo entro mercoledì
Perché quel giorno lì, lei forse torna qui
A prendere le cose che ha dice dimenticato lì
Ma brava, fai così
Vieni di lunedì
E adesso basta, vado fuori
Sempre se trovo i pantaloni
E vado ad affogare tutti i miei dolori
Perché restare, restare soli
Fa male anche ai duri
Loro non lo dicono, ma
Parlano con i muri
Forti però quei duri
La ragazza mi ha lasciato, è colpa mia
Sono stato anche beccato dalla Polizia
Mi han detto, ""Prego, si accomodi lì""
""Passerà qualche giorno qui""
""Ma vedrà che probabilmente uscirà certo
Prima di lunedì""
Voglio restare qui
Odio quel giorni lì
E adesso basta, vado fuori
Sempre se trovo i pantaloni
E vado ad affogare tutti i miei dolori
Perché restare, restare soli
Fa male anche ai duri
Loro non lo dicono, ma
Piangono contro i muri
Buoni però quei duri
Loro non lo dicono, ma
Parlano con i muri
Forti però quei duri"
Ma Che Freddo Fa,Nada,"D'inverno il sole stanco
a letto presto se ne va
non ce la fa più
non ce la fa più
la notte adesso scende
con le sue mani fredde su di me

ma che freddo fa

ma che freddo fa

basterebbe una carezza

per un cuore di ragazza

forse allora sì - che t'amerei.

Cos'è la vita

senza l'amore

è solo un albero

che foglie non ha più

e s'alza il vento

un vento freddo

come le foglie

le speranze butta giù

ma questa vita cos'è

se manchi tu.

Mi sento una farfalla

che sui fiori non vola più

che non vola più

che non vola più

mi son bruciata al fuoco

del tuo grande amore

che s'è spento già

ma che freddo fa

ma che freddo fa

tu ragazzo m'hai delusa

hai rubato dal mio viso

quel sorriso che non tornerà.

Cos'è la vita

senza l'amore

è solo un albero

che foglie non ha più

e s'alza il vento

un vento freddo

come le foglie

le speranze butta giù

ma questa vita cos'è

se manchi tu.

Non mi ami più

che freddo fa

cos'è la vita

se manchi tu

non mi ami più

che freddo fa"
Ma Come Fanno I Marinai,Francesco De Gregori,"Ma dove vanno i marinai
con le loro giubbe bianche
sempre in cerca di una rissa o di un bazar.
Ma dove vanno i marinai
con le loro facce stanche
sempre in cerca di una bimba da baciar.

Ma cosa fanno i marinai

quando arrivano nel porto

vanno a prendersi l'amore dentro al bar

qualcuno è vivo per fortuna

qualcuno è morto

c'è una vedova da andare a visitar.

Ma come fanno i marinai

a riconoscere le stelle

sempre uguali sempre quelle

all'Equatore e al Polo Nord

ma come fanno i marinai

a baciarsi tra di loro

a rimanere veri uomini però.

Intorno al mondo senza amore

come un pacco postale

senza nessuno che gli chiede come va

col cuore appresso a una donna

una donna senza cuore

chissà se ci pensano ancora, chissà.

Ma dove vanno i marinai

mascalzoni imprudenti

con la vita nei calzoni

col destino in mezzo ai denti

sotto la luna puttana e il cielo che sorride

come fanno i marinai

con questa noia che li uccide

addormentati sopra un ponte

in fondo ad un malincuore

sognano un ritorno smaltiscono un liquore

affaticati dalla vita piena di zanzare

che cosa gliene frega

di trovarsi in mezzo al mare

a un mare che più passa il tempo

e più non sa di niente

su questa rotta inconcludente

da Genova a New York

ma come fanno i marinai

a fare a meno della gente

e rimanere veri uomini però.

Intorno al mondo senza amore

come un pacco postale

senza nessuno che gli chiede come va

col cuore appresso a una donna

una donna senza cuore

chissà se ci pensano ancora, chissà..."
Ma Il Cielo È Sempre Più Blu,Rino Gaetano,"Chi vive in baracca, chi suda il salario
Chi ama l'amore e i sogni di gloria
Chi ruba pensioni, chi ha scarsa memoria
Chi mangia una volta, chi tira al bersaglio
Chi vuole l'aumento, chi gioca a Sanremo
Chi porta gli occhiali, chi va sotto un treno
Chi ama la zia, chi va a Porta Pia
Chi trova scontato, chi come ha trovato
Na na na na na na na na na na
Ma il cielo è sempre più blu
Ma il cielo è sempre più blu
Chi sogna i milioni, chi gioca d'azzardo
Chi gioca coi fili chi ha fatto l'indiano
Chi fa il contadino, chi spazza i cortili
Chi ruba, chi lotta, chi ha fatto la spia
Na na na na na na na na na na
Ma il cielo è sempre più blu
Il cielo è sempre più blu
Chi è assunto alla Zecca, chi ha fatto cilecca
Chi ha crisi interiori, chi scava nei cuori
Chi legge la mano, chi regna sovrano
Chi suda, chi lotta, chi mangia una volta
Chi gli manca la casa, chi vive da solo
Chi prende assai poco, chi gioca col fuoco
Chi vive in Calabria, chi vive d'amore
Chi ha fatto la guerra, chi prende il sessanta
Chi arriva agli ottanta, chi muore al lavoro
Na na na na na na na na na na
Ma il cielo è sempre più blu
Il cielo è sempre più blu
(Ma il cielo è sempre più blu)
Chi è assicurato, chi è stato multato
Chi possiede ed è avuto, chi va in farmacia
Chi è morto di invidia o di gelosia
Chi ha torto o ragione, chi è Napoleone
Chi grida ""al ladro!"", chi ha l'antifurto
Chi ha fatto un bel quadro, chi scrive sui muri
Chi reagisce d'istinto, chi ha perso, chi ha vinto
Chi mangia una volta, chi vuole l'aumento
Chi cambia la barca, felice e contento
Chi come ha trovato, chi tutto sommato
Chi sogna i milioni, chi gioca d'azzardo
Chi parte per Beirut e ha in tasca un miliardo
Chi è stato multato, chi odia i terroni
Chi canta Prévert, chi copia Baglioni
Chi fa il contadino, chi ha fatto la spia
Chi è morto d'invidia o di gelosia
Chi legge la mano, chi vende amuleti
Chi scrive poesie, chi tira le reti
Chi mangia patate, chi beve un bicchiere
Chi solo ogni tanto, chi tutte le sere
Na na na na na na na na na na
(Ma il cielo è sempre più blu)"
Magnolia,Negrita,"Lentamente scivola
La tua mano su di te
Quel tanto che basta per trasformare
Ogni carezza in un gemito
Ti guardo accaldata contorcerti
Tra le lenzuola umide

Golosa ed implacabile

Forza fammi male finchè vuoi...

Lo sai...

PIOGGIA IO SARÒ ... PER TOGLIERTI LA SETE...

E SOLE SALIRÒ ... PER ASCIUGARTI BENE...

VENTO ARRIVERÒ ... PER POTERTI ACCAREZZARE...

MA SE VUOI... SE TU VUOI...

TRA FANGO E NEVE, FANGO E NEVE IMPAZZIRÒ!

Ti ammiro per come ti approcci

A questi anni mutevoli

Mi piace quel tuo senso pratico

La tua forza e l'ironia

I cieli neri intorno a noi

Sono soltanto nuvole

Che dolcemente soffi via

E niente può far male più, lo sai...

Lo sai...

PIOGGIA IO SARÒ ... PER TOGLIERTI LA SETE...

E SOLE SALIRÒ ... PER ASCIUGARTI BENE...

VENTO ARRIVERÒ ... PER POTERTI ACCAREZZARE...

MA SE VUOI... SE TU VUOI...

TRA FANGO E NEVE, FANGO E NEVE IMPAZZIRÒ!

Impazzirò!....

FINCHE' PIOGGIA DIVERRÒ ... PER TOGLIERTI LA SETE...

E SOLE IO SARÒ ... PER ASCIUGARTI BENE...

VENTO ARRIVERÒ ... PER POTERTI ACCAREZZARE...

MA SE VUOI... SE TU VUOI...

TRA FANGO E NEVE, FANGO E NEVE IMPAZZIRÒ!...

IMPAZZIRÒ! E PIOGGIA IO SARÒ

PER TOGLIERTI LA SETE, PER ASCIUGARTI BENE, PER POTERTI ACCAREZZARE

MA SE VUOI , SE TU VUOI....

FINO ALLA FINE, FINO ALLA FINE DEL MONDO...

Vieni con me, vieni con me, vieni con me

Ad insegnarmi a camminare,ad insegnarmi a respirare...

Con le mani, con le mani,con le mani

con le tue mani potrei morire,sulle tue mani potrei...."
Maledetta Primavera,Loretta Goggi,"Voglia di stringersi e poi
vino bianco, fiori e vecchie canzoni
e si rideva di noi
che imbroglio era
maledetta primavera.

Che resta di un sogno erotico se

al risveglio è diventato un poeta

se a mani vuote di te

non so più fare

come se non fosse amore

se per errore

chiudo gli occhi e penso a te.

Se

per innamorarmi ancora

tornerai

maledetta primavera

che imbroglio se

per innamorarmi basta un'ora

che fretta c'era

maledetta primavera

che fretta c'era

se fa male solo a me.

Che resta dentro di me

di carezze che non toccano il cuore

stelle una sola ce n'è

che mi può dare

la misura di un amore

se per errore

chiudi gli occhi e pensi a me.

Se

per innamorarmi ancora

tornerai

maledetta primavera

che importa se

per innamorarsi basta un'ora

che fretta c'era

maledetta primavera

che fretta c'era

maledetta come me.

Lasciami fare

come se non fosse amore

ma per errore

chiudi gli occhi e pensa a me.

Che importa se

per innamorarsi basta un'ora

che fretta c'era

maledetta primavera

che fretta c'era

lo sappiamo io e te

Na, na, na, na, na, na,

na, na, na, na, na, na,

maledetta primavera

na, na, na, na, na, na..."
Mamma maria,Ricchi e Poveri,"Un gatto bianco con gli occhi blu
un vecchio vaso sulla TV
Nell'aria il fumo delle candele
due guance rosse, rosse come mele
Ha un filtro contro la gelosia
e una ricetta per l'allegria

legge il destino ma nelle stelle

e poi ti dice solo cose belle

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

Nel mio futuro che cosa c'è

sarebbe bello se fossi un re

così la bionda americana

o si innamora o la trasformo in rana.

Io muoio dalla curiosità

ma dimmi un po' la verità

voglio sapere se questo amore

sarà sincero, sarà con tutto il cuore.

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

Non ho una lira però vorrei

comprare il cielo per darlo a lei

ci devi dare un po' di fortuna

e insieme al cielo compriamo anche la luna.

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma

ma ma ma mamma Maria ma"
Maracaibo,Lu Colombo,"Maracaibo
balla al Barracuda
sì ma balla nuda
za' za'
sì ma le machine pistol
sì ma le mitragliere

era una copertura

faceva traffico d'armi con Cuba

innamorata

sì ma di Miguel

ma Miguel non c'era

era in cordigliera da mattina a sera

Sì ma c'era Pedro

con la verde luna

l'abbracciava sulle casse

sulle casse di nitroglicerina

tornò Miguel tornò

la vide e impallidì

il cuor suo tremò

quattro colpi di pistola le sparò

Maracaibo

mare forza nove

fuggire sì ma dove?

za' za'

L'albero spezzato

una pinna nera

nella notte scura

come una bandiera

morde il pescecane

nella pelle bruna

una zanna bianca

come la luna

Maracaibo

finito il Barracuda

finito ballar nuda

za' za'

un gran salotto

23 mulatte

danzan come matte

casa di piaceri per stranieri

130 chili

splendida regina

rum e cocaina

za' za'

se sarai cortese

ti farà vedere

nella pelle bruna una zanna bianca come la luna

Maracaibo"
Mare Mare,Luca Carboni,"Ho comprato anche la moto
usata ma tenuta bene
ho fatto il pieno e in autostrada
prendo l'aria sulla faccia
Olè tengo il ritmo prendo un caffè

lo so questa notte ti troverò

Son partito da Bologna

con le luci della sera

forse tu mi stai aspettando

mentre io attraverso il mondo

Olè questa notte mi porta via

alè questa vita mi porta via...mi porta al mare

Mare, mare, mare ma che voglia di arrivare lì da te, da te

sto accelerando e adesso ormai ti prendo

mare, mare, mare ma sai che ognuno c'ha il suo mare

dentro al cuore sì

e che ogni tanto gli fa sentire l'onda

mare, mare, mare ma sai che ognuno c'ha i suoi

sogni da inseguire sì

per stare a galla e non affondare no no

Ma son finito qui sul molo

a parlare all'infinito

le ragazze che sghignazzano

e mi fan sentire solo

sì ma cosa son venuto a fare

ho già un sonno da morire

Va beh, cameriere un altro caffè per piacere

alè tengo il ritmo e ballo con me

Mare, mare, mare cosa son venuto a fare se non ci sei tu

no, non voglio restarci più no, no, no,

mare, mare, mare cosa son venuto a fare se non ci sei tu

no, non voglio restarci più no, no, no,

mare, mare, mare avevo voglia di abbracciare tutte quante voi

ragazze belle del mare, mare,

mare, mare, mare poi lo so

che torno sempre a naufragare qui..."
Margherita,Riccardo Cocciante,"Io non posso stare fermo
con le mani nelle mani
tante cose devo fare
prima che venga domani
E se lei già sta dormendo

io non posso riposare

farò in modo che al risveglio

non mi possa più scordare.

Perché questa lunga notte

non sia nera più del nero

fatti grande, dolce Luna,

e riempi il cielo intero.

E perché quel suo sorriso

possa ritornare ancora,

splendi Sole domattina

come non hai fatto ancora.

E per poi farle cantare

le canzoni che ha imparato

io le costruirò un silenzio

che nessuno ha mai sentito.

Sveglierò tutti gli amanti

parlerò per ore ed ore

abbracciamoci più forte

perché lei vuole l'amore, poi...

Corriamo per le strade

e mettiamoci a ballare

perché lei vuole la gioia

perché lei odia il rancore, poi...

Coi secchi di vernice

coloriamo tutti i muri,

case, vicoli e palazzi

perché lei ama i colori.

Raccogliamo tutti i fiori

che può darci Primavera

costruiamole una culla

per amarci quando è sera, poi...

Saliamo su nel cielo

e prendiamole una stella

perché Margherita è buona

perché Margherita è bella

Perché Margherita è dolce

perché Margherita è vera

perché Margherita ama,

e lo fa una notte intera.

Perché Margherita è un sogno

perché Margherita è il sale

perché Margherita è il vento

e non sa che può far male.

Perché Margherita è tutto

ed è lei la mia pazzia.

Margherita, Margherita,

Margherita adesso è mia.

Margherita è mia."
Marina,Rocco Granata,"Mi sono innamorato di Marina
Una ragazza mora ma carina
Ma lei non vuol saperne del mio amore
Cosa faro' per conquistar il suo cuor
Un giorno la incontrai sola sola
Il cuore mi batteva mille all'ora
Quando le dissi che la volevo amare
Mi diede un bacio e l'amor sboccio'

Marina, Marina, Marina
Ti voglio al piu' presto sposar
Marina, Marina, Marina
Ti voglio al piu' presto sposar

O mia bella mora
No non mi lasciare
Non mi devi rovinare
Oh, no, no, no, no, no
O mia bella mora
No non mi lasciare
Non mi devi rovinare
Oh, no, no, no, no, no

(Instrumental)

Marina, Marina, Marina
Ti voglio al piu' presto sposar
Marina, Marina, Marina
Ti voglio al piu' presto sposar

O mia bella mora
No non mi lasciare
Non mi devi rovinare
Oh, no, no, no, no, no

O mia bella mora
No non mi lasciare
Non mi devi rovinare

Oh, no, no, no, no, no
Oh, no, no, no, no, no
Oh, no, no, no, no, no
Oh, no, no, no, no, no
Oh, no, no, no, no, no"
Marlon Brando È Sempre Lui,Ligabue,"Ehi, Stella!
Ehi, Stella!
Stella

Lui aveva un vecchio Maggiolone cabriolet
Sfatto, ma piaceva tanto a lei
Arrivò e col clacson disse, ""Sto aspettando te""

Lei scese profumata più che mai
Fecero due conti in tasca e videro che
Non ci si ballava neanche un po'

Lei gli disse, ""Questa sera voglio far l'amore
Prima però portami a sognare""

Un fascio di luce va dal proiettore
Per un sogno da duemila lire

Porti addosso qualche segno
Proverò a tirarteli via

Posso solo questo sogno
Scusa per la mia fantasia

Giù in platea sedie di legno
Gole secche per la sete d'eroi

E Marlon Brando è sempre lui
Marlon Brando è sempre lui

Un po' più avanti con negli occhi ancora tanto film
Terry Malloy, infine, vince lui

Lui le dice, ""Vedi in fondo siamo sempre qui
E non è obbligatorio essere eroi""

Un fascio di luce va dal Maggiolone
Carrellata per il lieto fine

Porti addosso qualche segno
Proverò a tirarteli via

Posso solo questo sogno
Scusa per la mia fantasia

Giù in platea sedie di legno
Gole secche per la sete d'eroi

E Marlon Brando è sempre lui
Marlon Brando è sempre lui
Marlon Brando è sempre lui
Marlon Brando è sempre lui"
Marylou,Alessandro Mannarino,"La donna del porto balla con l'abito corto,
rossa nella sera se ne va.
Una mattina ha preso la corriera
perchè voleva andare alla città,
che il padre con la zappa le rubava tutta la felicità.

Trovata fu rinchiusa in un convento,

però poi fuggì dall'aldilà

e in questa strada sporca come il mondo quanto è bello camminar.

La donna del porto balla con l'abito corto,

rossa nella sera se ne va.

Il giorno vende al sole del mercato

il sale dolce della libertà,

la notte vola sopra un cane alato e sveglia tutta la città.

E' vestita sempre trasparente

e i capelli sono di lillà,

porta in mano una stella cadente e terrorizza la città.

Marylou, Marylou, tutti i marinai gridano I LOVE YOU,

Marylou, Marylou, tutti i marinai gridano I LOVE YOU.

La donna del porto balla con l'abito corto,

rossa nella sera se ne va.

Ma poi un ragioniere ha svalvolato

perchè non riusciva più a contar,

poi precisamente ha calcolato anche ad ammazzarla dentro a un bar.

Era stesa sopra al pavimento

ma si è rialzato e ha detto: ""Non si fa!"".

Gli ha dato un pizzicotto sotto il mento e lo ha spedito all'aldilà.

La donna del porto balla con l'abito corto,

rossa nella sera se ne va.

A volte al gregge infame della gente

serve un lupo nero da ammaestrar,

il pazzo ha fatto tutto di sua sponte ma non agli occhi di mammà.

Purtroppo Marylou non l'ho più vista

e a volte io mi chiedo dove sta,

ma forse è meglio vivere all'inferno che in una santissima città.

Marylou, Marylou, tutti i marinai gridano I LOVE YOU,

Marylou, Marylou, tutti i maritati gridano I LOVE YOU."
Master Blaster (Jammin’),Stevie Wonder,"Everyone's feeling pretty
It's hotter than July
Though the world's full of problems
They couldn't touch us even if they tried
From the park I hear rhythms
Marley's hot on the box

Tonight there will be a party

On the corner at the end of the block

Didn't know you

Would be jammin' until the break of dawn

I bet nobody ever told you that you

would be jammin' until the break of dawn

You would be jammin' and jammin' and jammin', jam on

They want us to join their fighting

But our answer today

Is to let all our worries

Like the breeze through our fingers slip away

Peace has come to Zimbabwe

Third World's right on the one

Now's the time for celebration

'Cause we've only just begun

Didn't know that you

Would be jammin' until the break of dawn

Bet you nobody ever told you that you

Would be jammin' until the break of dawn

You would be jammin' and jammin' and jammin', jam on

Bet you nobody ever told you that you

(We're in the middle of the makin's of the master blaster jammin')

Would be jammin' until the break of dawn

I know nobody told you that you

(We're in the middle of the makin's of the master blaster jammin')

Would be jammin' until the break of dawn

We're jammin', jammin', jammin', jam on

You ask me am I happy

Well as matter of fact

I can say that I'm ecstatic

'Cause we all just made a pact

We've agreed to get together

Joined as children in Jah

When you're moving in the positive

Your destination is the brightest star

You didn't know that you

(We're in the middle of the makin's of the master blaster jammin')

Would be jammin' until the break of dawn

I bet you nobody ever told you that you

(We're in the middle of the makin's of the master blaster jammin')

Would be jammin' until the break of dawn

Oh, Oh, Oh, Oh, Oh, you

(We're in the middle of the makin's of the master blaster jammin')

Would be jammin' until the break of dawn

Don't you stop the music, oh no,

(We're in the middle of the makin's of the master blaster jammin')

Na, na na...

(We're in the middle of the makin's of the master blaster jammin')

Nobody told you Oh, Oh, Oh, you

(We're in the middle of the makin's of the master blaster jammin')

Would be jammin' until the break of dawn

I bet you if someone approached you

(We're in the middle of the makin's of the master blaster jammin')

yesterday to tell you that you would be jammin' you would not believe it because you never thought that you would be jammin'

Oh, Oh, Oh, Oh,

(We're in the middle of the makin's of the master blaster jammin')

jammin' 'til the break of dawn

Oh, Oh, Oh, You may as well believe what you are feeling

(We're in the middle of the makin's of the master blaster jammin')

because you feel your body jammin'

(We're in the middle of the makin's of the master blaster jammin')

Oh, Oh, you would be jammin' until the break of dawn

(We're in the middle of the makin's of the master blaster jammin')

(We're in the middle of the makin's of the master blaster jammin')"
Me So Mbriacato,Alessandro Mannarino,"Quando io sono solo con te
sogno immerso in una tazza di tè
ma che caldo qua dentro
ma che bello il momento.
Quando sono con te
non so più chi sono perché

crolla il pavimento

e mi sciolgo di dentro

Quando penso a te

mi sento denso perché

io ti tengo qua dentro di me

io ti tengo qua dentro con me.

Me so' 'mbriacato de 'na donna

quanto è bbono l'odore della gonna

quanto è bbono l'odore der mare

ce vado de notte a cerca' le parole.

Quanto è bbono l'odore del vento

dentro lo sento, dentro lo sento.

Quanto è bbono l'odore dell'ombra

quando c'è 'r sole che sotto rimbomba.

Come rimbomba l'odore dell'ombra

come rimbomba, come rimbomba.

E come parte e come ritorna

Come ritorna l'odore dell'onda.

Quando io sono solo con te

io cammino meglio perché

la mia schiena è più dritta

la mia schiena è più dritta

Quando sono con te

io mangio meglio perché

non mi devo sfamare

non mi devo saziare con te

Me so' 'mbriacato de 'na donna

quanto è bbono l'odore della gonna

quanto è bbono l'odore der mare

ce vado de notte a cerca' le parole.

Quanto è bbono l'odore del vento

dentro lo sento, dentro lo sento.

Quanto è bbono l'odore dell'ombra

quando c'è 'r sole che sotto rimbomba.

Come rimbomba l'odore dell'ombra

come rimbomba, come rimbomba.

E come parte e come ritorna

Come ritorna l'odore dell'onda."
Menomale Che C’è Il Mare,Olly,"E tra volersi e tollerarsi
C'è una differenza grande
Un'idea e una persona
Si possono assomigliare
Ma menomale che c'è il mare
Che ci porta ogni pensiero

A mischiarsi con il cielo

E a non tornare mai più

Quando sogni ad occhi aperti

Non le chiudi le persiane

Certi fili del discorso

Si possono aggrovigliare

Ma menomale che c'è il mare

Che si porta ogni pensiero

A mischiarsi con il cielo

E a non tornare mai più, uh

Se cerchi un posto bellissimo

Basta che ti metti qui con me

Senti, i pescatori che fischiano

Fanno

E tu canta

La-la-la-la-la

E tutto si risolverà

In un attimo

E tu canta

La-la-la-la-la

E tutto si risolverà

Tu canta

La-la-la-la-la

E tutto si risolverà

Tu canta

La-la-la-la-la

E tutto si risolverà

In un attimo

Ehm, oh, yeah

Ti vuole bene chi conosce

I tuoi punti deboli

Ma non li tocca

Ti da voce quando non l'hai in bocca

Chi quando affondi a prua

Ti bilancia stando in poppa

E ti tiene su, uh

Senza sentirsi simili

E tipici tipi di comicità

Ma atipici e riderci su

Ci porta i problemi fin laggiù

E non tornare mai più, uh

Conosco un posso bellissimo

Basta che ti metti qui con me

Sento i pescatori che fischiano

Fanno

E tu canta

La-la-la-la-la

E tutto si risolverà

In un attimo

(Ico eh)

E tu canta

La-la-la-la-la

E tutto si risolverà

Tu canta

La-la-la-la-la

E tutto si risolverà

Tu canta

La-la-la-la-la

E tutto si risolverà

In un attimo

E tu canta

La-la-la-la-la

E tutto si risolverà

Tu canta

La-la-la-la-la

E tutto si risolverà

Tu canta

La-la-la-la-la

E tutto si risolverà"
Meravigliosa Creatura,Gianna Nannini,"Molti mari e fiumi
attraverserò,
dentro la tua terra
mi ritroverai.
Turbini e tempeste
io cavalcherò,

volerò tra i fulmini

per averti.

Meravigliosa creatura,

sei sola al mondo,

meravigliosa paura

di averti accanto,

occhi di sole

mi bruciano in mezzo al cuore

amo la vita meravigliosa.

Luce dei miei occhi,

brilla su di me,

voglio mille lune

per accarezzarti.

Pendo dai tuoi sogni,

veglio su di te.

Non svegliarti, non svegliarti, non svegliarti ancora.

Meravigliosa creatura,

sei sola al mondo,

meravigliosa paura

di averti accanto.

Occhi di sole,

mi tremano le parole,

amo la vita meravigliosa.

Meravigliosa creatura,

un bacio lento,

meravigliosa paura

di averti accanto.

All'improvviso

tu scendi nel paradiso.

Muoio d'amore meraviglioso

Meravigliosa creatura

meravigliosa...

occhi di sole

mi bruciano in mezzo al cuore

amo la vita

meravigliosa..."
Meraviglioso,Negramaro,"È vero
Credetemi è accaduto
Di notte su di un ponte
Guardando l’acqua scura
Con la dannata voglia
Di fare un tuffo giù

D'un tratto

Qualcuno alle mie spalle

Forse un angelo

Vestito da passante

Mi portò via dicendomi

Così

Meraviglioso

Ma come non ti accorgi

Di quanto il mondo sia

Meraviglioso

Meraviglioso

Perfino il tuo dolore

Potrà apparire poi

Meraviglioso

Ma guarda intorno a te

Che doni ti hanno fatto

Ti hanno inventato l mare

Tu dici non ho niente

Ti sembra niente il sole

La vita, l'amore

Meraviglioso

Il bene di una donna

Che ama solo te

Meraviglioso

La luce di un mattino

L'abbraccio di un amico

Il viso di un bambino

Meraviglioso

Meraviglioso

Ah

Meraviglioso

Meraviglioso

Ah

Meraviglioso

Ma guarda intorno a te

Che doni ti hanno fatto

Ti hanno inventato

Il mare

Tu dici non ho niente

Ti sembra niente il sole

La vita, l'amore

Meraviglioso

Il bene di una donna

Che ama solo te

Meraviglioso

La notte ora finita

E ti sentivo ancora

L'amore della vita

Meraviglioso

Meraviglioso"
Metti In Circolo Il Tuo Amore,Ligabue,"Hai cercato di capire,
ma non hai capito ancora
se di capire si finisce mai.
Hai provato a far capire
con tutta la tua voce
anche solo un pezzo di quello che sei.

Con la rabbia ci si nasce

o ci si diventa

e tu che sei un esperto non lo sai.

Perché quello che ti spacca

ti fa fuori dentro

forse parte proprio da chi sei.

Metti in circolo il tuo amore

come quando dici ""perché no?""

Metti in circolo il tuo amore

come quando ammetti ""non lo so""

come quando dici ""perché no?""

Quante vite non capisci

e quindi non sopporti

perché ti sembra non capiscan te.

Quanti generi di pesci

e che correnti forti

perché 'sto mare sia come vuoi te.

Metti in circolo il tuo amore

come fai con una novità

Metti in circolo il tuo amore

come quando dici ""si vedrà""

come fai con una novità

E ti sei opposto all'onda

ed è li che hai capito

che più ti opponi e più ti tira giù.

E ti senti ad una festa

per cui non hai l'invito

per cui gli inviti adesso falli tu.

Metti in circolo il tuo amore

come quando dici ""perché no?""

Metti in circolo il tuo amore

come quando ammetti ""non lo so""

come quando dici ""perché no?""."
Mi Fido Di Te,Jovanotti,"Case di pane, riunioni di rane
vecchie che ballano nelle cadillac
muscoli d'oro, corone d'alloro
canzoni d'amore per bimbi col frack
musica seria, luce che varia
pioggia che cade, vita che scorre

cani randagi, cammelli e re magi

forse fa male eppure mi va

Di stare collegato

di vivere di un fiato

di stendermi sopra al burrone

di guardare giù

la vertigine non è

paura di cadere

ma voglia di volare

Mi fido di te

mi fido di te

mi fido di te

mi fido di te

io mi fido di te

ehi mi fido di te

cosa sei disposto a perdere

Lampi di luce, al collo una croce

la dea dell'amore si muove nei jeans

culi e catene, assassini per bene

la radio si accende su un pezzo funky

teste fasciate, ferite curate

l'affitto del sole si paga in anticipo prego

arcobaleno, più per meno meno

forse fa male eppure mi va

Di stare collegato

di vivere di un fiato

di stendermi sopra al burrone

di guardare giù

la vertigine non è

paura di cadere

ma voglia di volare

Mi fido di te

mi fido di te

mi fido di te

cosa sei disposto a perdere

mi fido di te

mi fido di te

io mi fido di te

cosa sei disposto a perdere

Rabbia stupore la parte l'attore

dottore che sintomi ha la felicità

evoluzione il cielo in prigione

questa non è un'esercitazione

forza e coraggio

la sete il miraggio

la luna nell'altra metà

lupi in agguato il peggio è passato

forse fa male eppure mi va

Di stare collegato

di vivere di un fiato

di stendermi sopra al burrone

di guardare giù

la vertigine non è

paura di cadere

ma voglia di volare

Mi fido di te

mi fido di te

mi fido di te

cosa sei disposto a perdere

eh mi fido di te

mi fido di te

mi fido di te

cosa sei disposto a perdere

(Grazie a splintered per questo testo)"
Mi Ritorni In Mente,Lucio Battisti,"Mi ritorni in mente
Bella come sei
Forse ancor di più
Mi ritorni in mente
Dolce come mai
Come non sei tu

Un angelo caduto in volo

Questo tu ora sei

In tutti i sogni miei

Come ti vorrei, come ti vorrei

Ma c'è qualcosa che non scordo

C'è qualcosa che non scordo

Che non scordo

Quella sera

Ballavi insieme a me

E ti stringevi a me

All'improvviso

Mi hai chiesto: “Lui chi è?

Lui chi è?”

Un sorriso

E ho visto la mia fine sul tuo viso

Il nostro amor dissolversi nel vento

Ricordo, sono morto in un momento

Mi ritorni in mente

Bella come sei

Forse ancor di più

Mi ritorni in mente

Dolce come mai

Come non sei tu

Un angelo caduto in volo

Questo tu ora sei

In tutti i sogni miei

Come ti vorrei, come ti vorrei

Ma c'è qualcosa che non scordo

C'è qualcosa che non scordo

Che non scordo

Ma c'è qualcosa che non scordo"
